Disease,Symptoms,Medical_Specialty
schizotypal personality disorder,"another_key_distinction, a_spectrum, that, treatments, teasing, system:'you, events, patients, a_feeling, eccentric_or_unusual_thinking, oddly_matched_clothes_peculiar_style, people, symptoms, speech, schizotypal_personality_disorder, something, hallucinations, school, an_underperformer, constant_doubts, peculiar_ways, schizophrenia_schizotypal_personality_disorder, the_teen_years, peers, these_signs, unkempt, the_child, a_loner, vague_or_unusual_patterns, illusions, their_delusions, which, a_direct_personal_meaning, the_difference, conversations__signs, a_severe_mental_illness, a_high_level, beliefs, brief_psychotic_episodes, excessive_social_anxiety_incorrect_interpretation, bullying, increased_interest, their_distorted_ideas, special_powers, others, step, contact, the_loyalty, the_immediate_family_flat_emotions, mental_telepathy_or_superstitions_unusual_perceptions, schizophrenia, those, social_anxiety, mannerisms, i, solitary_activities, the_episodes, reality, delusions, patient, suspicious_or_paranoid_thoughts, close_friends, an_absent_person's_presence, the_differences","Otolaryngologist, Psychiatrist"
sciatica,"that, a_thigh, the_buttock, the_back, system:'you, the_body, patients, pain, another_part, sciatica, one_part, pain_radiating, a_long_time, lower_back_pain, numbness, muscle_weakness, tingling, the_hips, some_people, calf, only_one_side, it, leg_pain, the_leg, or_numbness, sciatica_pain, a_jolt_or_electric_shock, a_path, i, a_mild_ache, burning_pain, patient, the_nerve_pathway, foot, sharp_pain, the_pain","Neurologist, Orthopedist"
scleritis,"severe_eye_pain, eye_redness, blurred_vision",General Practitioner
scleroderma,"early_symptoms, any_part, people, feet, dizziness, shortness, the_cold_or_emotional_distress, color, the_digestive_system, chest, skin-related_signs, the_lungs, i, lungs, the_progression, the_heart, patient, a_hardening, excess_fluid, the_fingertips, heartbeats, signs, system:'you, patients, the_circulation, thickening, the_tightness, the_skin, an_inappropriate_and_exaggerated_contraction, the_fingers, toes, x, which, some_people, it, tightening, the_forearms, nearly_everyone, thighs, calcium_deposits, who, the_digits, that, raynaud's_phenomenon_raynaud's_phenomenon, their_hands, scleroderma, medications, lower_legs, the_lung_tissues, heart_failure, the_rectum, the_small_blood_vessels, affected_skin, face, the_legs, addition, response, the_esophagus, exercise_tolerance, hands, the_skin_thickening, telangiectasia, the_body, the_first_parts, symptoms, -, scleroderma's_signs, small_red_spots, upper_arms, the_blood_pressure, rays, time, person, pulmonary_hypertension, this_lung_damage, digestive_problems_scleroderma, difficulty, raynaud's_phenomenon, abdomen, parts, diarrhea_constipation_fecal_incontinence__heart_and_lung_problems, breath, bumps, this","Cardiologist, Vascular Surgeon"
sclerosing mesenteritis,"any_symptoms, mesenteritis, mayo_clinic_staff, system:'you, i, mesenteritis_care, patients, pain, people, symptoms, patient, mayo_clinic, the_cause, diarrhea, fever, your_belly",Infectious Disease Specialist
scoliosis,"most_scoliosis_cases, that, signs, the_back, the_body, system:'you, patients, muscles, symptoms, the_rib_cage, the_other_one_side, one_side, a_prominence, side, uneven_shoulders, the_spine, scoliosis, the_other_side, one_shoulder_blade, addition, those, i, the_other_uneven_waist, the_ribs, patient, this",Orthopedist
scorpion stings,"sweating_nausea, a_scorpion_sting, signs, system:'you, patients, pain, people, children, symptoms, excitability, anaphylaxis, these_cases, bees, bee_stings, vomiting, intense_numbness, unusual_head, eye_movements, which, these_subsequent_stings, heart_rate_(tachycardia)_restlessness, hypertension, subsequent_stings, a_life-threatening_condition, allergic_reactions, it, reactions, neck, scorpions, other_stinging_insects, those, who, the_site, i, slight_swelling_warmth__signs, wasps, hives, patient, widespread_(systemic)_venom_effects, muscle_twitching, high_blood_pressure","Cardiologist, Vascular Surgeon"
scrotal masses,"feeling, prompt_treatment, an_infection, that, signs, a_scrotal_mass, system:'you, fever___urinary_frequency___pus, patients, a_doctor, moves_sperm, testicles, symptoms, children, the_skin, close__close_male_reproductive_system___male_reproductive_system, a_dull_aching_pain, stores, any_concerns, male_reproductive_system___male_reproductive_system, blood, a_testicle, the_genitals, sperm, some_scrotal_masses, the_urine, the_male_reproductive_system, prostate_gland, the_groin, lower_back___tender, ep, sudden_pain, which, the_risk, the_testicle, an_undescended_or_retractile_testicle, it, you, sexual_intercourse, the, the_seminal_vesicles, the_scrotum___pain, swollen, your_scrotum, life, other_symptoms, heaviness, scrotal_masses, abdomen, permanent_damage, emergency_medical_care, comma-shaped_tube, hardened_epididymis, some_conditions, the_scrotum___redness, i, a_lump, your_child, hardened_testicle___tender, male_reproductive_system, semen, your_doctor, the_development, the_scrotum, patient, the_abnormality, the_cause, stores_and_transports_sperm, an_unusual_lump, fluid","Infectious Disease Specialist, Urologist"
scurvy,"joint_pain, swollen_and_bleeding_gums, fatigue",Orthopedist
seasonal affective disorder,"seasonal_affective_disorder_symptoms, that, signs, problems, experiencing_carbohydrate_cravings, system:'you, either_case, low_energy__spring_and_summer_sad_symptoms, patients, people, a_less_intense_form, low_energy, symptoms, winter-onset_sad, summer_depression, late_fall, overeating_and_weight_gain, the_day, bipolar_disorder, episodes, anxiety_increased_irritability__seasonal_changes, irritability, winter_depression, thoughts, mania, interest, trouble, weight, the_opposite_pattern, seasonal_affective_disorder, foods, agitation, spring, some_people, bipolar_disorder_people, the_fall, winter_months, appetite_changes, you, activities, fall_and_winter_sad_symptoms, summer-onset_seasonal_affective_disorder, a_specific_season, difficulty, increased_risk, hypomania, poor_appetite_weight_loss_agitation, summer, most_cases, tiredness, depression, anxiety, who, especially_a_craving, the_sunnier_days, i, carbohydrates, the_season, patient, early_winter, example, they","Otolaryngologist, Psychiatrist"
seborrheic dermatitis,"the_breasts, that, system:'you, eyebrows, patients, people, beard_or_mustache_patches, the_nose, symptoms, white_skin_ring-shaped_(annular)_rash, the_signs, groin_area, season, greasy_skin, brown_or_black_skin, seborrheic_dermatitis_signs, a_type, your_scalp, ears, sides, stress, flaking_skin, a_change, hair, dandruff, eyelids, seborrheic_dermatitis, chest, flaky_scalp, flaky_white_or_yellow_scales, armpits, pruritus, redder, those, skin, the_scalp, i, crust, patient, and_oily_patches, petaloid_seborrheic_dermatitis_itchiness, fatigue",Dermatologist
seborrheic keratosis,"a_flat_growth, signs, the_back, system:'you, a_seborrheic_keratosis, patients, symptoms, light_tan, varied_size, a_characteristic, the_eyes, a_slightly_raised_bump, a_scaly_surface, flesh_moles, a_round_or_oval-shaped_waxy, brown_or_black_itchiness, color, varied_number, black_or_brown_skin, more_than_1_inch, chest, the_face, a_single_growth, a_shoulder, rough_bump, (2.5_centimeters, multiple_growths, i, very_small_growths, patient",Dermatologist
secondary glaucoma,the_underlying_cause,General Practitioner
secondary hypertension,"very_high_blood_pressure, that, medication, system:'you, patients, people, 180_millimeters, the_condition, hg_high_blood_pressure, secondary_hypertension, the_blood_pressure, these_signs, sudden-onset_high_blood_pressure, no_specific_symptoms, blood_pressure, dangerously_high_levels, high_blood_pressure, any, blood_pressure_medications, i, age, mercury, primary_hypertension, patient, systolic_blood_pressure, no_family_history, resistant_hypertension",Cardiologist
"sedative, hypnotic, or anxiolytic use disorder","drowsiness, tremors, continued_use, relaxation, poor_coordination, negative_consequences, rebound_anxiety, withdrawal_symptoms, relationship_problems, use, sedation, reduced_anxiety, health_risks, memory_impairment, insomnia",Psychiatrist
sedatives poisoning,"drowsiness, slowed_breathing, confusion",Pulmonologist
seizure,"a_person, a_feeling, the_brain, people, muscles, absence_seizures, seizures, dizziness, sound, as_sudden_brief_jerks, body_stiffening, trouble, awareness, a_change, narcolepsy_or_mental_illness, all, petit_mal_seizures, things, muscle_control, consciousness, tonic_seizures, different_types, certain_words, i, their_tongue, migraine, patient, eye, the_brain_or_nervous_system, system:'you, patients, one_area, children, focal_seizures_focal_seizures, taste, the_most_dramatic_type, generalized_seizures, these_types, impaired_awareness, how_and_where_the_brain_activity, unknown_onset, space, the_seizure, circles, grand_mal_seizures, subtle_body_movements, other_disorders, some_people, it, the_way, stiffening, a_staring_spell, their_bladder, providers, generalized_seizures_seizures, flashing_lights, the_muscles, who, focal_seizures, unusual_feelings, arms, this_type, atonic_seizures, seizure, smell, the_neck, that, all_areas, the_back, the_ground, mouth_movements, their_head, drop_seizures, the_arms, epileptic_seizure, repeated_jerking_muscle_movements, cognitive_or_emotional_changes, a_sudden_loss, an_arm, a_leg, legs, emotions, clonic_seizures, these_seizures, face, electrical_activity, temporary_confusion, deja_vu, hundreds, myoclonic_seizures, the_type, no_loss, the_body, nausea, sudden_sensory_symptoms, a_dream, the_seizures, symptoms, 5_to_10_seconds, fear, clusters, times, a_brief_loss, several_minutes, their_environment, jerking_movements, the_time, repetitive_movements, loss, you, twitches, tonic-clonic_seizures, anxiety, a_body_part, control, a_loss, seizure_symptoms, they, both_sides",Neurologist
separation anxiety disorder,"excessive_worry, that, system:'you, patients, terror, symptoms, an_illness, a_peak, something, significant_distress, fear, a_disaster_constant_worry, minutes, intense_anxiety, home_or_loved_ones, separation_frequent_complaints, when_separation, panic_disorder, home, other_loved_ones, separation_anxiety_disorder, parents, the_house_reluctance, other_symptoms, panic_attacks, sudden_feelings, repeated_episodes, daily_functioning, the_developmental_age, a_parent, separation, headaches, i, recurrent_and_excessive_distress, stomachaches, patient, one_nearby_repeated_nightmares","Gastroenterologist, Psychiatrist"
sepsis,"change, septic_shock, system:'you, a_severe_drop, patients, septic_shock_sepsis, children, symptoms, no_clear_reason, adults, hard_time, worsening_cough, progression, person, shallow_breathing, painful_urination, the_risk, sepsis_symptoms, blood_pressure, sepsis, strong_sleepiness, major_change, infection, extreme_confusion, mental_status, pneumonia, i, patient, death, a_urinary_tract_infection, they, the_type","Dermatologist, Emergency Medicine Physician, Infectious Disease Specialist"
serotonin syndrome,"goose_bumps, signs, system:'you, patients, muscles, symptoms, syndrome_symptoms, the_dose, restlessness_insomnia_confusion_rapid_heart_rate, a_new_drug, pupils_loss, a_drug, severe_serotonin_syndrome, irregular_heartbeat_unconsciousness, agitation, high_blood_pressure_muscle_rigidity_heavy_sweating_diarrhea_headache, you, i, muscle_coordination, patient, several_hours, high_blood_pressure","Orthopedist, Otolaryngologist"
sex headaches,"that, the_moment, the_course, system:'you, patients, sex_headaches, about_six_months, even_2_to_3_days, clusters, the_head, headache, them, all_people, a_dull_ache, many_people, sexual_excitement, one_attack, most_sex_headaches, a_few_months, some_people, up_to_half, others, neck, any, both_types, their_lives, who, a_year, headaches, i, patient, hours, orgasm, they, that_intensifies, two_types",Otolaryngologist
sexually transmitted diseases stds,"hands, that, exposure, signs, system:'you, patients, sex_sore, symptoms, swollen_lymph_nodes, stds_stis_signs, a_partner, feet, the_trunk, the_genitals, no_symptoms, a_range, the_groin, years, the_organism, an_sti, any_noticeable_problems, unusual_vaginal_bleeding_pain, it, you, the_oral_or_rectal_area_painful_or_burning_urination_discharge, complications, sti__sores, stis, i, bumps, patient, sometimes_more_widespread_lower_abdominal_pain_fever, the_sti, the_penis_unusual_or_odorous_vaginal_discharge, they","Infectious Disease Specialist, Otolaryngologist"
shaken baby syndrome,"shaken_baby_syndrome_show_signs, prior_child_abuse, that, signs, system:'you, patients, awake_breathing_problems, the_brain, skull, symptoms, extreme_fussiness, time, physical_injury, many_children, legs, other_bones, you, injuries, shaken_baby_syndrome, paralysis_coma, the_child's_outer_body, the_face, a_child, mild_cases, eyes, pale_or_bluish_skin_seizures, irritability_difficulty, baby_syndrome_symptoms, i, the_ribs, patient, and_fractures, health_or_behavioral_problems, spinal_cord_damage, they","Neurologist, Orthopedist"
shellfish allergy,"tongue, the_immune_system, exposure, that, signs, the_throat, system:'you, or_other_parts, nausea, patients, potentially_life-threatening_allergic_reaction, an_epinephrine_(adrenaline)_injection, a_follow-up_trip, chemicals, symptoms, a_tightness, the_lips, something, a_severe_drop, swelling, swelling_nausea, diarrhea, airway_constriction, dizziness, anaphylaxis, minutes, a_medical_emergency, immediate_treatment, shellfish, a_tight_feeling, shock, vomiting, trouble, the_body_wheezing, coughing, allergy_symptoms, a_swollen_throat, irritated_skin_nasal_stuffiness, it, a_rapid_or_weak_pulse_severe_skin_rash, you, an_anaphylactic_reaction, a_flood, contact, diarrhea_dizziness, throat, the_emergency_room, lightheadedness_or_fainting__anaphylaxis_allergies, (congestion, i, hives, the_throat_belly_(abdominal)_pain, patient, an_hour, seconds, your_blood_pressure, they","Dermatologist, Emergency Medicine Physician"
shigella,"to_a_week, signs, system:'you, a_day, some_cases, patients, symptoms, diarrhea, blood_or_mucus)_stomach_pain, shigella, no_symptoms, their_feces, a_few_weeks, some_people, it, fever_nausea, contact, shigella_infection, i, patient, about_five_to_seven_days, they, cramps","Gastroenterologist, Infectious Disease Specialist"
shin splints,"system:'you, patients, pain, a_doctor, your_shinbone, mild_swelling, your_lower_leg, a_stress_reaction, your_shin_pain, stress_fracture, you, shin_splints, soreness, the-counter, tenderness, i, the_inner_side, your_doctor, patient, the_pain",Orthopedist
shingles,"that, only_a_small_section, problems, a_stripe, system:'you, patients, pain, the_shingles_rash, the_torso, shingles_pain, light_fatigue__pain, fever_headache_sensitivity, shingles_symptoms, close_shingles, these_symptoms, one_side, kidneys, blisters, shingles_shingles, some_people, your_body, it, shingles, the_rash, either_the_left_or_right_side, a_limited_area, the_location, the_face, face, fluid-filled_blisters, the_pain_fluid-filled_blisters, the_first_symptom, a_red_rash, i, lungs, sensitivity, a_tingling_sensation, crust, torso, the_heart, one_eye, patient, the_neck, the_pain","Dermatologist, Pulmonologist"
short bowel syndrome,"causes, that, conditions, surgery, system:'you, patients, mayo_clinic_staff__short_bowel_syndrome_care, symptoms, surgical_removal, blood_clots, crohn's_disease, the_small_intestine, cancer, diarrhea_greasy, mayo_clinic_staff, edema, injuries, short_bowel_syndrome, mayo_clinic, portions, parts, i, your_small_intestine, common_signs, patient, the_lower_extremities, foul-smelling_stools_fatigue_weight_loss_malnutrition, some",Gastroenterologist
sialolithiasis,"difficulty, tenderness, pain",General Practitioner
sick sinus syndrome,"fluttering_heartbeats, them, breath_slower_pulse, signs, system:'you, i, sick_sinus_syndrome, patients, discomfort_confusion_dizziness, bradycardia, fainting_fatigue_shortness, most_people, symptoms, palpitations, patient, few_or_no_symptoms, chest_pain, a_sensation","Otolaryngologist, Pulmonologist"
sickle cell anemia,"the_retina, the_swelling, feet, a_few_days, adults, around_6_months, bone, antibiotics, only_a_few_pain_crises, joints, enough_red_blood_cells, pneumonia, i, age, growth, patient, signs, system:'you, the_portion, healthy_red_blood_cells, patients, children, nutrients, the_eyes, episodes, about_120_days, which, frequent_infections, some_people, others, some_adolescents, puberty, blood_flow, joint_damage, sickle_cells, infections, fatigue, increasing_vulnerability, a_shortage, that, pain, tiny_blood_vessels, the_eye, periodic_episodes, 10_to_20_days, a_severe_pain_crisis, the_spleen, chronic_pain, visual_images, blood_circulation, intensity, and_other_causes, the_oxygen, red_blood_cells, hands, the_body, a_few_hours, symptoms, vaccinations, your_chest, delayed_growth, a_dozen, sickle-shaped_red_blood_cells, time, enough_oxygen, person, teenagers, vision_problems, pain_crises, the_hands, potentially_life-threatening_infections, infants, sickle_cell_anemia, a_hospital_stay, abdomen, anemia, a_major_symptom, this, extreme_pain, they, the_pain","Cardiologist, Orthopedist"
sinus headaches,"one_cheek, signs, system:'you, pressure, the_cheeks, patients, pain, achy_feeling, nausea, a_decreased_sense, symptoms, most_people, the_signs, worsening_pain, noise, sinus_headaches, sinusitis_headache_pain, vomiting, a_day, both_migraine, these, migraines, discolored_nasal_mucus, you, various_nasal_signs, watery_nasal_discharge, the_two_types, congestion, stuffy_nose_fatigue, the_upper_teeth, involvement, facial_pressure, fact, who, bright_light, headaches, i, sinusitis, a_migraine_attack, all_common_features, migraine, a_viral_upper_respiratory_infection, a_health_care_provider, upper_teeth___headaches, and_migraines, patient, studies, sinus_disease, the_autonomic_nervous_system, smell","Neurologist, Otolaryngologist"
sjogrens syndrome,"close_salivary_glands, system:'you, duct, patients, salivary_glands____________salivary_glands___salivary_glands, the_gland, its_own_tube, swollen_salivary_glands, them, each_gland, salivary_glands, three_pairs, dry_skin_vaginal_dryness_persistent_dry_cough_prolonged_fatigue, dry_eyes, the_mouth, your_mouth, major_salivary_glands, parotid, the_two_main_symptoms, some_people, sand, it, sjogren's_syndrome, cotton, front, your_jaw, particularly_the_set, your_ears, dry_mouth, i, your_eyes, patient, one_or_more_of_the_following:__joint_pain, salivary_glands___salivary_glands","Dermatologist, Endocrinologist"
sjögren's syndrome,"eyes, joint_pain, dry_mouth, dry_skin, fatigue","Dermatologist, Orthopedist"
skin cancer,"this_rare_form, the_skin________________squamous_cell_carcinoma, this_melanoma, people, sore, painless_nodules, red_nodule, hair_follicles, lips, symptoms_basal_cell_carcinoma, the_trunk, undergone_organ_transplants, a_flat_lesion, ears, white_skin, a_bump, your_mouth, waxy, their_natural_immunity, the_light, color, shiny_nodules, chest, sun-exposed_skin, merkel_cell_carcinoma_merkel_cell_carcinoma, italian_or_eastern_european_jewish_heritage, a_large_brownish_spot, red_or_purple_patches, darker_complexions, those, skin, melanoma_warning_signs, merkel_cell_carcinoma________________merkel_cell_carcinoma_________merkel_cell_carcinoma___merkel_cell_carcinoma_merkel_cell_carcinoma, a_bleeding, the_scalp, i, mucous_membranes, kaposi_sarcoma, patient, an_irregular_border, system:'you, a_scaly, patients, the_skin_sun-exposed_areas, the_lips, the_skin, the_head, toes, close__close_merkel_cell_carcinoma___merkel_cell_carcinoma_merkel_cell_carcinoma, close__close_squamous_cell_carcinoma, fingertips, the_sun, your_fingernails, a_type, all_skin_tones, an_existing_mole, flesh-colored_or_brown_scar-like_lesion, squamous_cell_carcinoma_signs, which, white_skin_________basal_cell_carcinoma, your_skin, your_body, it, white_skin____________basal_cell_carcinoma, size, the_skin's_blood_vessels, areas, who, the_skin_________squamous_cell_carcinoma, close__close_basal_cell_carcinoma, other_people, arms, this_type, less_common_types, the_lower_legs, dark_skin_tones, any_skin_tone, trunk, that, squamous_cell_carcinoma, symptoms_melanoma, the_palms, white_skin_basal_cell_carcinoma, weakened_immune_systems, this_uncommon_and_aggressive_cancer_originates, darker_speckles, the_oil_glands, the_skin____________squamous_cell_carcinoma, other_eyelid_problems, medications, melanoma____________melanoma___melanoma, melanoma________________melanoma_________melanoma___melanoma, dark_lesions, kaposi, white_skin________________basal_cell_carcinoma, sebaceous_gland_carcinomas, basal_cell_carcinoma_signs, less_common_skin_cancers, neck, face, the_legs, melanoma_signs, the_skin___squamous_cell_carcinoma, the_fingernails, shape, a_mole, merkel_cell_carcinoma, toenails, skin_cancer, aggressive_skin_cancer, hands, aids, an_increased_risk, a_small_lesion, otherwise_normal_skin, close__close_melanoma___melanoma, basal_cell_carcinoma, melanoma, symptoms, crusted_surface__melanoma_signs, young_men, merkel_cell_carcinoma____________merkel_cell_carcinoma___merkel_cell_carcinoma_merkel_cell_carcinoma, melanoma___melanoma, darker_skin, affected_men, merkel_cell_carcinoma___merkel_cell_carcinoma_merkel_cell_carcinoma, white_skin___basal_cell_carcinoma, your_neck, women, africa, your_face, cancer, both, blue_or_blue-black_a_painful_lesion, a_firm, the_first_sign, your_palms, sun-exposed_areas, the_hands, both_men, day, the_face, a_painless, portions, sebaceous_gland_carcinoma, nose, vagina_or_anus__signs, soles, color_variations, the_eyelid, the_feet, darker_skin_tones, and_your_genital_area, flesh-colored_or_bluish-red_nodule, older_men, they","Dermatologist, Oncologist"
sleep apnea,"excessive_daytime_sleepiness, system:'you, attention, patients, hypersomnia, awakening, air, which_type, the_symptoms, a_dry_mouth, episodes, irritability, morning_headache, obstructive_and_central_sleep_apneas, which, insomnia, it, you, difficulty, another_person, i, sleep, patient, the_most_common_symptoms",General Practitioner
sleep disorders,"an_irregular_sleep, this_condition, system:'you, cycle, patients, symptoms, interventions, sleep_disorders, unusual_or_bothersome_movements, night, trouble, an_uncomfortable_urge, the_daytime, some_people, experiences, new_treatments, mayo_clinic_staff, you, another_symptom, clinical_trials, mayo_clinic, other_symptoms, a_means, i, an_unusual_pattern, sleep, patient, mayo_clinic_studies, tests, inappropriate_times",Psychiatrist
sleep terrors,"excessive_sleepiness, they, flushed_face, the_sleep, a_person, problems, system:'you, patients, children, anything, the_night, a_racing_pulse, naps, their_sleep_terrors, a_cause, adults, them, the_morning, a_nightmare, a_dream_fragment, aggressive_behavior, the_sleep_terrors, injury_result, the_teen_years, adulthood, a_frightening_scream, safety_concerns, frightened_stare_wide-eyed_sweat, you, a_routine_well-child_exam, sleep_terrors, details, a_sleep_terror, half, bed, concern, the_person, the_house, other_family_members, a_doctor_occasional_sleep_terrors, who, daytime_symptoms, a_sleep_terror_episode, i, the_event, your_child, your_doctor, the_dreamer, patient, sleepwalking, nightmares, the_dream, no_or_little_memory",Otolaryngologist
sleepwalking,"excessive_sleepiness, a_person, problems, the_first_time, the_episode, system:'you, patients, the_sleepwalking, the_night, naps, a_routine_physical_or_well-child_exam, the_day, a_cause, the_morning, a_sleepwalking_episode, household_members, several_minutes, a_car_engage, sexual_activity, the_stairs, awareness, the_period, more_than_one_to_two_times_a_week_or_several_times_a_night_lead, a_short_time, a_window, it, your_child's_teen_years, you, significant_sleep_disruption, others, sleep_terrors, bed, routine_activities, a_closet_engage, dangerous_behavior, concern, start, the_person, his_or_her_eyes, addition, the_house, disturbed_sleep, who, daytime_symptoms, someone, glassy-eyed_expression, i, an_episode, brief_confusion, an_adult, injury, a_doctor_occasional_episodes, your_doctor, patient, sleepwalking, unusual_behavior, example",Otolaryngologist
small bowel cancer,"an_organ_transplant, other_types, people, fap, gene_mutations, any_exercise_program, the_cancer_cells, familial_adenomatous_polyposis, a_variety, weight, the_intestines, the_colon, alcohol, changes, the_whites, daily_exercise, mayo_clinic_staff, hiv_infection, advanced_small_bowel_cancer, lynch_syndrome, mayo_clinic, those, healthy_ways, i, age, your_doctor, doctors, patient, other_bowel_diseases, a_set, risk_factors_factors, signs, jaundice, instructions, system:'you, a_healthy_diet, patients, a_tumor, the_skin, nutrients, your_goal, the_eyes, most_days, mutations, which, cancerous_cells, the_number, your_body, it, fruits, mayo_clinic_staff__small_bowel_cancer_care, an_orderly_way, peutz-jeghers_syndrome, your_weight, minerals, weakened_immune_system, who, most_often_the_liver, your_risk, abdominal_pain_yellowing, the_stool, whole_grains, that, the_week, (endometrium, healthy_cells, antioxidants, normal_tissue, a_cell, an_array, exercise, blood, the_lining, families, unusually_weak_or_tired_nausea_vomiting, ways, calories, examples, and_up_to_two_drinks, these_cells, the_risk, ovaries, rectum, some_gene_mutations, cells, moderation, fiber, no_more_than_one_drink, vitamins, other_parts, what, complications, anti-rejection_medicine, cancers, your_body's_germ-fighting_immune_system, the_small_bowel, at_least_30_minutes, the_amount, their_dna, an_increased_risk, a_higher_risk, new_cells, conditions, men, the_body, red_or_black_watery_diarrhea_skin, vegetables, a_healthy_weight, symptoms, a_cell's_dna, your_parents, the_uterus, all_ages, time, women, crohn's_disease, cancer, you, small_bowel_cancer, other_diseases, most_small_bowel_cancers, other_cancers, 30_minutes, they, inflammatory_bowel_disease, celiac_disease","Gastroenterologist, Oncologist"
small intestinal bacterial overgrowth,"an_uncomfortable_feeling, sibo__loss, signs, fullness, sibo, system:'you, i, patients, appetite_abdominal_pain_nausea, symptoms, diarrhea_unintentional_weight_loss_malnutrition, patient","Dermatologist, Infectious Disease Specialist"
small vessel disease,"system:'you, patients, symptoms, coronary_artery_disease, your_signs, which, angioplasty, stents, energy, you, neck, chest_pain_shortness, emotional_stress, chest_pain, small_vessel_disease, i, activity, small_vessel_disease_signs, lack, the_left_arm, patient, breath_tiredness","Cardiologist, Vascular Surgeon"
smallpox,"hands, the_body, system:'you, this_time, a_day, patients, pus, headache_severe_fatigue, the_torso, red_spots, the_skin, feet, small_blisters, close__close_smallpox___smallpox, pitted_scars, smallpox____________smallpox___smallpox, person, the_spots, smallpox_________smallpox, the_mouth, the_first_symptoms, the_scabs, these, fever_muscle, legs, smallpox, clear_fluid, your_body, you, the_rash, pustules, the_blisters, the_incubation_period, the_face, smallpox_sores, 7_to_19_days, the_virus, the_smallpox_virus, i, sudden_flu-like_symptoms, the_tongue, this_photograph, arms, bangladesh, smallpox___smallpox, patient, scabs, these_sores, they","Dermatologist, Infectious Disease Specialist"
snoring,"osa, breathing, system:'you, patients, a_doctor, people, not_all_snorers, sore_throat, children, the_night, pause, sleep_excessive_daytime_sleepiness_difficulty, periods, silence, night, morning_headaches, a_loud_snort, snoring, an_indication, gasping_sound, poor_attention_span, night_high_blood_pressure_chest_pain, obstructive_sleep_apnea, it, poor_performance, you, behavioral_issues, school__osa, this_reduction, further_evaluation, your_snoring, restless_sleep, any, the_following_symptoms, loud_snoring, your_partner's_sleep, this_pattern, i, breathing_pauses, sleep, patient, every_hour, a_sleep_disorder, disrupted_sleep","Otolaryngologist, Pulmonologist"
social anxiety disorder,"a_public_restroom__social_anxiety_disorder_symptoms, other_types, demands, everyday_nervousness, everyday_experiences, relationships, people, returning_items, school, adults, intense_fear, the_short_term, worry, mid, panic, embarrassment, a_store, changes, parties, normal_social_situations, :__fear, personality_traits, things, common_social_situations, the_center, i, physical_symptoms, sweating_upset_stomach_or_nausea_trouble, your_breath_dizziness, your_doctor, patient, certain_situations, fast_heartbeat, embarrassment_avoidance, situations, signs, attention_anxiety, system:'you, patients, your_mind, children, comfort_levels, your_anxiety, unfamiliar_people, identification, flaws, which, school_starting_conversations, some_people, feelings, anticipation, it, life_experiences, others, a_mental_health_professional, more_general_social_situations, front, anxious_fear, a_feared_activity, discomfort, younger_children, they, that, shyness, blank_muscle_tension, the_long_term, physical_symptoms_physical_signs, peers, temper_tantrums, parents, other_activities, social_anxiety_disorder, public, the_worst_possible_consequences, daily_routines, social_situations_analysis, your_interactions, event, your_life, a_doctor, symptoms, strangers, contrast, fear, avoidance, -, a_negative_experience, teens, a_social_situation_expectation, time, stress, a_room, treatment, performance_type, your_performance, a_lot, eye_contact, a_shaky_voice_avoidance, social_gatherings, a_social_situation, you, social_situations, yourself, anxiety, emotional_and_behavioral_symptoms_signs","Psychiatrist, Pulmonologist"
soft palate cancer,"that, weight_loss, soft_palate_cancer, bad_breath_mouth_pain_sores, your_neck, system:'you, i, you, patients, some_signs, symptoms, white_patches, patient, difficulty, your_mouth, ear_pain, loose_teeth_pain, bleeding_difficulty",Oncologist
soft tissue sarcoma,"its_early_stages, the_tumor, it, system:'you, i, patients, pain, a_tumor, any_signs, muscles, symptoms, patient, a_noticeable_lump, a_soft_tissue_sarcoma, nerves",Oncologist
somatic symptom disorder,"potential_illness, they, somatic_symptom_disorder, or_more_general_symptoms, that, the_specific_physical_symptoms, weakness, system:'you, constant_worry, moderate_or_severe__pain, patients, pain, any_medical_cause, no_evidence, symptoms, heart, varying_symptoms, the_symptoms, disease, them, shortness, excessive_thoughts, significant_problems, damage, the_most_common_symptom, physical_activity, but_whatever, these_thoughts, multiple_symptoms, which, cancer, medication_side_effects, your_concerns, your_daily_life, treatment, medical_treatment, feelings, behaviors, your_body, abnormalities_frequent_health_care_visits, it, the_way, those_symptoms, you, a_single_symptom, what, severe_physical_illness, your_symptoms, medical_evaluation, physical_sensations, normal_physical_sensations, a_more_severe_impairment, i, breath, :__specific_sensations, patient, a_medical_condition, a_sign, fatigue","Oncologist, Pulmonologist"
sore throat,"epiglottis, that, the_throat, throat_anatomy___throat, signs, system:'you, throat_anatomy________________throat_anatomy_________throat_anatomy___throat, pus, throat_anatomy____________throat_anatomy___throat, patients, pain, a_hoarse_or_muffled_voice__infections, symptoms, other_signs, your_tonsils, the_larynx, fever_cough_runny_nose_sneezing_body, the_trachea, your_neck, a_scratchy_sensation, the_throat_pain, tonsils, a_sore_throat, throat, headache_nausea, close__close_throat_anatomy___throat, glands, jaw_swollen, i, the_esophagus, swallowing_or_talking_difficulty, white_patches, patient, red_tonsils, the_cause","Infectious Disease Specialist, Otolaryngologist"
